id,name,percent,total
53033000100,1,0.804,4633
53033000200,2,0.930,5512
53033000300,3,0.963,1969
53033000401,4.01,0.700,3547
53033000402,4.02,0.835,3732
53033000500,5,0.987,2594
53033000600,6,0.930,5646
53033000700,7,0.857,2988
53033000800,8,0.975,1945
53033000900,9,0.973,1685
53033001000,10,0.936,1236
53033001100,11,0.953,1902
53033001200,12,0.726,4062
53033001300,13,0.847,3079
53033001400,14,0.875,3809
53033001500,15,0.941,2060
53033001600,16,0.956,3720
53033001701,17.01,0.871,2706
53033001702,17.02,0.864,3329
53033001800,18,0.944,3573
53033001900,19,0.863,3258
53033002000,20,0.905,2628
53033002100,21,0.952,2878
53033002200,22,0.962,4145
53033002400,24,0.980,2205
53033002500,25,0.932,2037
53033002600,26,0.959,3352
53033002700,27,0.956,4187
53033002800,28,0.907,3175
53033002900,29,0.947,2965
53033003000,30,0.952,4339
53033003100,31,0.957,4655
53033003200,32,0.917,6285
53033003300,33,0.903,4733
53033003400,34,0.952,2526
53033003500,35,0.902,2758
53033003600,36,0.836,4329
53033003800,38,0.928,1406
53033003900,39,0.957,2183
53033004000,40,0.872,2001
53033004100,41,0.959,5860
53033004200,42,0.970,5702
53033004301,43.01,0.822,2064
53033004302,43.02,0.479,987
53033004400,44,0.709,3237
53033004500,45,0.977,1833
53033004600,46,0.951,2474
53033004700,47,0.796,5697
53033004800,48,0.970,3989
53033004900,49,0.854,4603
53033005000,50,0.832,2493
53033005100,51,0.919,2563
53033005200,52,0.698,3051
53033005301,53.01,0.405,1647
53033005302,53.02,NA,NA
53033005400,54,0.938,4200
53033005600,56,0.972,5255
53033005700,57,0.956,4789
53033005801,58.01,0.909,3835
53033005802,58.02,0.922,3788
53033005900,59,0.921,4515
53033006000,60,0.950,3796
53033006100,61,0.927,4122
53033006200,62,0.967,2919
53033006300,63,0.959,4272
53033006400,64,0.938,2371
53033006500,65,0.836,2999
53033006600,66,0.857,2307
53033006700,67,0.853,5349
53033006800,68,0.891,2096
53033006900,69,0.937,3407
53033007000,70,0.749,4953
53033007100,71,0.766,2409
53033007200,72,0.579,3712
53033007300,73,0.669,3095
53033007401,74.01,0.690,2773
53033007402,74.02,0.532,2394
53033007500,75,0.674,4009
53033007600,76,0.742,2179
53033007700,77,0.912,3475
53033007800,78,0.977,4030
53033007900,79,0.778,3448
53033008001,80.01,0.767,4122
53033008002,80.02,0.475,1430
53033008100,81,0.481,1498
53033008200,82,0.522,1598
53033008300,83,0.580,1427
53033008400,84,0.534,1914
53033008500,85,0.461,1054
53033008600,86,0.712,1968
53033008700,87,0.802,2179
53033008800,88,0.865,2203
53033008900,89,0.860,3438
53033009000,90,0.740,1718
53033009100,91,0.309,577
53033009200,92,0.369,718
53033009300,93,0.862,1435
53033009400,94,0.762,3269
53033009500,95,0.884,4005
53033009600,96,0.971,4390
53033009701,97.01,0.963,4855
53033009702,97.02,0.966,3978
53033009800,98,0.901,4829
53033009900,99,0.896,4216
53033010001,100.01,0.798,2088
53033010002,100.02,0.867,2984
53033010100,101,0.842,4182
53033010200,102,0.950,3374
53033010300,103,0.888,3878
53033010401,104.01,0.943,2603
53033010402,104.02,0.896,3102
53033010500,105,0.827,4811
53033010600,106,0.911,5773
53033010701,107.01,0.856,1835
53033010702,107.02,0.801,1902
53033010800,108,0.914,3274
53033010900,109,0.808,775
53033011001,110.01,0.702,2086
53033011002,110.02,0.893,2301
53033011101,111.01,0.864,2733
53033011102,111.02,0.844,2304
